Metin,Durum
Ürün güzel bu paraya bu kalite performans ama makine ilk. Geldiginde kendi yüzümde denedim kuaförüm diş çiziyordu ayarladım ürün parasına göre çok iyi güçlü,
Güzel ve kaliteli ürün tavsiye ederim,
ürün parasına göre çok iyi,
Evet çok güzel bir makina,
Eşime aldım. Çok beğendi. Saçını da sakalını da şekillendiriyor. Gayet kullanışlı,
Ürün başarılı tafsiye ederim,
Güzel ürün tavsiye ederim,
Beğendim ama daha uzun kesebilen tarak seçenekleri de olmalıydı,
teşekkürler güvenilir mağaza,
Güzel ürün Harika satıcı,
ürün güzel fiyatı da uygun fakat garanti belgesi doldurulmamis,
daha tam olarak kullanmadım ancak beklediğim gibi,
Hızlı kargo, kaliteli ürün. Kedi ve köpek traşı için aldım. Kıt olan yerleri T uç sayesinde daha kolay kesebiliyorum.,
Philips kullanıyordum, tarağı kırıldı, yeni tarak fiyatı bu ürünün 1,5 katı. Yorumlar olumlu diye aldım, fiyat performans ürünü. Titreşimi philipse göre yüksek, ilk izlenimim kuruda daha iyi gibi. Bıçağın temizliği için tornavida ile açmak gerekiyor pratik değil.,
guzel hic bir sorunu yok,
kaliteli kesinlikle tavsiye ederim,
Urun tamamen fiyat performans urunu. Piyasada daha iyi oldugunu sanmam. Highly recommended!!,
Ürün gerçekten harika kuoförümde gördüm ve tafsiyesi üzerine aldım.kullandım harika ve KUSURSUZ.??,
powertec bildiğim ve kullandığım marka bu seferki aldığım makine kutu içeriğinde 2 nolu tarak kırık geldi mağazaya konuyu ilettim fakat dönüş saglanmadi powertec süper makine ama satıcı sorumsuz,
makine güzel kullanışlı,
Ürün güzel ürün hakkında bir şikayetim yok,
ürün anlatıldığı gibi. teşekkür ederim.,
Berberimin tavsiyesi ile aldım çok beğendim tavsiye ederim bundan evvel aldıklarımın çok üstünde bir makina,
evet çok beğendim,
Ne yalan söyleyeyim, bu kadar iyi bekle miyordum.,
Cok guzel kullandim. Bu fiyata alınabilecek en iyilerden. Bilader e de sipariş verecem.,
Ürün yaklaşık 20 saatte elime ulaştı. Beklediğimden daha pratik ve daha güçlü çıktı. Tam bir fiyat performans ürünü.,
üründeki 3mm tarağı bildiğimiz 3 numaralı traş diye aldım. meğer 0 ile 1 arasında bişeymiş. bir defa neme kesimi yaptığım için iade yada değişim olmuyormuş. boşa almış oldum çöpe para attık.,
Bana göre süper üç adet aldım,
Ürünü begendim ve teşekkür ederim,
ürünü beğendim. 3 taraklı çok kaba olmayan bir alet. sadece kutusu ezik büzük çıktı dışında bir problem yok,
evet beğendim güzel,
Evet harıka ürün sıfır sakal taşı yapıyo,
Hayır beğenmedim,
Başarılı makine düşünmeden alınabilir,
n11.com üyesi 01.10.2020 Bozuk ve dezenforme olmuş ürün geldi ve iade alınmadı Bu arkadaşın yaşadıklarını aynısını bende yaşadım ve aynı şekilde sonucladı tek farkı bana BERBER mısın dıye sorulması ıdı MUMKUNSE BU FIRMADAN alışveriş YAPMAYIN muhakkak ayı olayı sizde yaşayacaksınız bu konuda eminim,
kullanışlı memnun Kaldım,
Ürün bi moser değil ama fiyata göre fena değil,
Hayır b3?enmedim .Rezillik,
Çok seri bir cihaz. Fiyatına göre çok iyi,
Evet şık tasarım ve tatminkâr markayı zaten biliyordum saç tıraşı Makinesi vardı zaten ince dişte powertec tr658 ile tamamlandı tavsiye ederim,
ürün çok güzel, temizlemesi gayet kolay, çok memnun kaldım,
Aldığım ürün şarj almıyordu ve üzerinde dezenformasyon vardı. Ona rağmen açıldığını bahane ederek iade almadılar ve teknik servise yönlendirdiler. Yeni alınmış bir ürün çalışmadığında ve üstüne üstlük üründe dezenformasyon olmasına rağmen niye teknik servise gitmekle uğraşıyorum anlamadım. Gönderdiğim ürünü de kabul almayıp tekrar bana gönderdiler ve kargo ücretini ben ödemek durumunda kaldım. N11 sağolsun itiraz ettiğimde aynı miktarda kupon vererek zararımı kapattı.,
Güzel ürün düşünmeden alın,
urunu kullanmadim ama elime ulasti cok guzel gozukuyor . urun Orta boydadir.,
iki günde elime ulaştı teşekkür ederim.. kullanmadım umarım istediğim gibi çıkar,
Ürünü çok beğendim,
İdare eder... ,
Fiyatına göre oldukça güzel bir ürün. Kesinlikle tavsiye ediyorum. Paketleme ve kargo iyiydi.,
Gramajı ağırlığı kaliteli duruyor ..memnun kaldım ..işimi gayet güzel görüyor ...,
çok güzel birebir aynı ürün güçlü motoru var dükkanım için aldım gayet güzel ve sağlam bir ürün,
Ben ürünü traş olduğum berberde görüp almıştım. Gayet sağlam ve kaliteli gibi duruyor. Fiyatına göre çok iyi olduğunu söyleyebilirim,
kullandigim üründü 3 arkadaşıma daha aldım herkez memnun tesekkurler,
Samsung şarj cihazı bile oluyor, hem kablolu hem kablosuz jilet gibi, oldukça güzel ve güçlü.,
Parasını hak eden ürün. Fiyat performans harika,
Ürünü daha öncede kullandım sert sakallar için birebir uyumlu ve güzel,
Ürün güzel tavsiye ederim,
fiyat performans kıstasına göre gönül rahatlığıyla alabilirsiniz.,
Ürün hakkını fazlasıyla veriyor. İnce işler için süper bir makina,
Gerçekten ürün çok kaliteli... Almak isteyenlere tavsiye ederim.,
Gönül rahatlığıyla alın kullanın,
ürün güzel kullanışlı beğendim geldiği gibi kullandım,
braoun marka bir tane vardı taraksız kesince almıyordu farklı uzunluk gibi bırakıyordu bu resmen 1 günlük sakal gibi alıyor fena kesiyor ama benim gibi beceriksizseniz ve ilk kez deniyorsanız yani daha önce böyle kullanan birisi 3 dk da keserse ben 7 dk kesiyorum böyle oluncada makina ısınıyor demiri fena rahatsız ediyor ama eli alışık olanlar ısınmadan şak şak keser diye düşünüyorum ısınması kötü kesimi motoru falan güçlü. ben kışın kullanmak için sakalım sert olduğu için duşta yumuşat yarı çıplak traş ol üşütmr tehlikesi olmaması için duşa girmeden kesicem duşumu alıp çıkıcam. yani pişman olmadım alınır güzel cihaz.,
Harika bir makina çok güzel kesiyor. Kasası oldukça sağlam ben çok beğendim vallahi,
Evet beğendim fakat Fiyatı biraz uygun tutulabilir.,
ürün anlattığı gibi herkese tavsiye ederim...,
Ürün güzel ama paketleme hoşuma gitmedi,
ürün tek sıkıntısı çabuk ısınması sıfıra yakın bir kesim sağlıyor sakalı alırken tarakla küçük takılmalar oldu onun dışında kesimi beğendim,
Ürünü beğendim herhangibir sıkıntı yok tam istediğim gibiydi teşekkürler,
Başarılı ürün, fiyat/Performans ürünü,
gelir gelmez hemn actim şarjı vardı ürün güzel paketlenmis sıkıntısız çalışıyordu sakal tıraşı yaptım 0 kesimi çok güzel gönül rahatlığıyla alabilirsiniz,
Gerçekten çok kaliteli bir tıraş makinesi. Hızlı kargo için de teşekkür ederim. İlgili bir satıcı, bu ikinci siparişim.,
ürüne yapılan olumlu yorumlara bakarak aldım. ürün anlatıldığı gibiydi. gayet kullanışlı ve pratik. umarım uzun ömürlü olur.,
arkadaşlar alin,
fiyatına göre maksimum verimli,
cok kaliteli buldum tavsiye ederim,
çok ince ağız yapısı var, şarjı çok iyi. Braun var fiyat bunun rahat 3 katı ama şarj ve ağız bu makine yanında hiç. marka işte,
çok kaliteli herkes e tavsiye ederim,
Traş makinası çok güzel gerçekten mükemmel 3.yü aldık,
Makina çok şık güzel bir ürün tavsiye ederim,
2 adet aldık 1. 3 . 5 aydır bizde memnunduk. anlayın vorteil teşekkürler. 2. yeni aldık ondada sorun yok,
Ürünü ikinci alışım, birini hediye olarak aldım, oda memnun kaldı. Sakal için özellikle çok güzel sıfıra yakın bir kesimi var. ama sinek kaydı derseniz hayır. Tarak kısmı dışındaki yerler plastik. fiyatına göre çok iyi. tavsiye ederim.,
Beğendim gayet güzel,
Evet beğendim alacak arkadaşlara tavsiye ediyorum,
Ürün resimdeki gibi gayet güzel ele oturuyor, titreşim yok denecek kadar az, kesmesi süper , kıl yolma tahriş etme yok, tavsiye ediyorum alın kullanın ilk kullanımda çok memnun kaldım teşekkürler...,
ŞUANLIK GÜZEL BAKALİM KAÇ AY GÖTÜRECEK 2 YIL GARANTİSİ VAR GÖZÜKÜYOR UMARİM KIYTIRIK GARANTİLERDEN DEĞİLDİR,
hem uygun hem kalite başka ne denilebilir ki?,
ürün çok güzel ve kullanışlı iki adetyaldim.tavsiye ederim.,
Ürünü beğendim herkese gönül rahatlığı ile tavsiye ederim,
Çok güzel bir ürün. tavsiye ederim. çevremde kullananlar da memnun,
Sakalı sıfır kesmiyor ama makina güzel kaliteli,
Çok kalitesiz kesiyor. Berbeelerdelki markasız ürünler bundan çok iyi. Kullanmıyorum duruyor öyle.,
Vücut kılları ve sakallar için güzel bi ürün. Sarjı uzun gidiyor ve çabuk doluyor. Fiyat performans ürünü,
Hayır boynumu kesti,
çok güzel ve kaliteli ürün,
Ürünü çok beğendim,
Güzel ürün Jet hızında teslimat Teşekkürler..,
Ürün ikinci kattan düştü sadece çizildi...,
tarif edildiği gibi kaliteli bir ürüne benziyor,
Ürün çok güzel, kullanışlı, motoru kuvvetli. Fiyatı da uygun,
Adaptörü kırık geldiği için yorum yapamıyorum. Görünüşü fena değildi.,
arızalı ürün gönderiyo..dikkat edin..iadeaide yokmuş,
ürünü nisan ayında satın aldım, saç tıraşı performansı güzel ama sakal için ideal değil. birde şarj olurken pilden ses geliyor şarj süresi gayet makul. 2,5 ay sorunsuz kullandım fakat sonrasında bozuldu, motor kendi kendine yavaşlayarak duruyor, düzeltmek için içini açıp motoru elle döndermek gerekiyor ama sonrasında aynı sorunu tekrar yapıyor.,
SÜPER ÜRÜN SÜPER MAĞZA SÜPER KARGO TEŞEKKÜRLER,
Ürün gayet başarılı. Gönderici firma gayet özenli kargolamış. Ürün resimde olduğu gibi geldi ve sakal içinde 1-2-3 numara traş başlıkları, mini temizleme fırçası, ince yağ, şarj adaptörü de çöküyor kutudan.,
Ürünü kuaförde görüp de aldım. Cildi tahriş etmiyor ve sarjı çok uzun süre gidiyor.,
sadece sakal keseceğini düşündüm ama saçta kesimi yaptım biraz zorlandı sanki ama oldukça başarılı bir makine tavsiye ederm,
ürünü beğendim bide sipariş verir vermez bir saat içinde kargoya vermesi çok güzel,
ürün süper hiç çekinmeden alabilirsiniz,
çok harika tavsiye ederim,
Güzel ürün sıfıra yakın kesiyor. Micro usb kablosu Eski android şarj kablosu ile şarj edebiliyorsunuz. Resimde boyutu büyük görünüyor ama ufak hoş.,
Kargo Hızı Mükemmel her eve diye başlayan mağazadan almıştım adamlar kargoya veremedi bundan sonra bu tarz ürünleri bu mağazadan alacağım bir buçuk günde geldi. Yorumlara bakarak aldım pişman olacağımi sanmıyorum,
Begenmedim iade ettim,
kötü bu firma dan almayın,
ürün kalitesi çok iyi performans olarakta güclü makina,
Ürünü begendim fakat kullanılmış gibiydi,
Mağaza bozuk, çalışmayan ürün gönderdi. Defalarca değişim iade talep de bulundum. sürekli oyalayip bahane uydurdular. Sakın almayın bunlardan bir şey.,
Fiyatına göre iyi çekme yapmıyor.,
Üründen memnun kalmadım ve iade etmek istedim ama mağaza kabul etmiyor iade vardiye aldanmayın ürüne...,
Ürün kısa sürede geldi, paket özenli idi. Kullanımda rahat 1-2-3mm uçlar var daha fazla olabilirdi, onun haricinde fiyatına göre güzel tavsiye ederim.,
600 lira para verdim moser aldım bir kutu da geldi rezalet. garanti bandı yok içinde ne olduğu belli değil ve hemen kargo elemanını göndermedim geri yolladım. 100 liraya bu ürünü aldım mükemmel bir traşı var. jilet traşıyla aynı traşı var hemen hemen. çok memnunum.,
Hayır, beğenmedim,
Motoru güçlü. Kesimi çok iyi çekme yok. Hassas bölgelerde kullanırken dikkatli olmak lazım :) iki eksiği var bana göre: başlıkları çok kötü. Ben 3 mm kullanırım kısaltırım diye umuyordum ama kullanamadım. Başlığı takınca kesmedi sakalları birazını alıyor birazını bırakıyor falan. Kısacası başlık performansı kötü. Diğer sorun da parlak yüzeyler. Hem çok kaygan hem de kıl tutuyor çok fazla.,
10dk şarj oluyor sonra yeşil ışık yanıyor oysa şarjı yok makinenin.Kesik kesik çalışıyor en son kendi kendine çalışmayı durduruyor.Beklediğim gibi değildi,
1 saniye bile düsünmeden alın. Resmen sıfır alıyor sakal ve ense icin aldim sonuc mukemmel. Bu kadar olacagini tahmin etmemistim.,
Ürün iyi ama kargo teslimat süresi berbat,
evet beğendim tavsiye ederim,
bu fiyata bu makina harika, bir çok iyi marka dediğinden daha iyi iş çıkarıyor.,
Uzun ömürlü olursa son zamanlarda yaptığım en iyi alışveriş diyebilirim.,
Ürünü kullanmadım.Ama paketleme çok özensiz. Sanki 3.el ürün gibi,
ürün çok kaliteli,
Bazı arkadaşlar kıl çekiyor/koparıyor demiş. İsterseniz bin tllik tıraş makinesi ile tıraş olun yine çeker ilk sakallarınızı tarayın birbirinden ayırın sonra çekme yaparsa tamam makinede sorun vardır hiçbir müşterimden böyle ne bir şikayet aldım ne de kıl çektiğini hissettim kendim de bizzat kullanıyorum gayet iyi daha bugün geldi üç kişide de sorun yok tr-1200 modeli de saç için çok iyi tavsiye ederim,
evet cok iyiydi,
Moser, Panasonic marka pahalı cihazları kullanmış biri oalrak şunu söyleyebilirim ki parasını fazlasıyla hakl eden bir ürün. 2 bin liralık moser cihazı emekli etti, ben kafamı kazımak ve sert sakalımı tıraş etmek için kullanıoyrum, jilete yakın tıraş yapıyor şiddetle tavsiye ederim,
ürün için saç da keser yazıp müşteri aldatıyorlar ama ürün asla saç kesimi için tasarlanmamıştır.powertec firması türk ama ürünleri çinden alıyorlar türk malı değil ürünler,arayıp sorabilirsiniz.aliexpresten satın alınsa yarı fiyata alınabilirdi,şimdi olsa asla tr den almam.,
Ürün harika rengi, tutuşu çok güzel. Çalışma sesi rahatsız etmiyor açıkcası kaliteli bir ürün...,
ÜRÜNÜN FATURASI YOKK E.POSTAYA GÖNDERMEMİŞLER MAKİNADA SORUN YOK ÇALIŞMASI GÜZEL BU FİYATA ALINABİLECEK EN GÜZEL MAKİNE....,
makinayı beğendim Berberim zaten,
TEŞEKKÜRLER....,
Ben jiletle sakal tıraşı olmaktan bıktığım için ve jilet tahriş ettiği için aldım, jilet gibi sıfır kesiyor.Ben çok beğendim ve artık jilet kullanmayacağım, hem sakal hem ense için yapılmış on numara bir makina, saç traş için olmaz, saç traş için iki kademeli olanları tercih ediniz.,
Henüz kullanmaya başlamadım ama güzel görünüyor.,
urun begen dım skıntısız geldı ama urunu alıcak arkadaslar sunu bılsınler urun sac ıcın uggun degıl sakal ıcın uygun,
ürün kaliteli görünüyor berberde görerek aldım sakal tıraşı da başarılı kullandıkça kalitesini gösterecek şimdilik sorun yok başarılı cihaz,
Öncelikle ürünü çok geç teslim ettiklerini söylemek istiyorum.. Ürünü açtığımda paketinde verilen taraklardan 1mm ve 3mm olan verilmiş, fakat 2mm olanı göndermemişlerdi. Mağazayla iletişime geçtiğimde ancak kargo ücreti ödenirse göndereceklerini söylediler. Yani ürünü sizin elinize eksik ulaştırıyorlar, bir de tamamlanması için kendi cebinizden kargo parasını da ödüyorsunuz. Mağaza hiçbir şekilde ortak nokta bulmaya çalışmıyor, sizin ürünü teslim aldığınızda tutanak tutmanız gerektiğini söylüyor. Tabii ki pratikte hiçbir insan tüm kutuyu açıp eksik olup olmadığına bakamayacaklarını bildikleri için bu yöntemle paçayı kurtarmaya çalışıyorlar. Ürünü hiçbir şekilde iade almıyorlar. Ürün yanlış,eksik veya kusurlu gelebilir. Ve geldiğinde ürünü kesinlikle iade edemeyeceğinizi bilerek kararınızı verin. Şu ürün için beni 2 haftadır uğraştırdılar.Aldığıma alacağıma bin pişman oldum. Bu ürünü alacaklara bu mağazayı kesinlikle tavsiye etmiyorum.,
tavsiye ederim emsallerinden iyi,
İyi ama paketleme iyi deyil,
ürün sakallarımı yoluyor bozuk çıktı kargo parasını ben karşılayıp garantiye yollayacakmışım ??,
Ürünü beğendim güzel kesiyor kullanışlı bir ürün,
daha öncede alışverişim oldu sorunsuz zamaninda kargoya çıkarttılar. cihaz eksiksiz ve düzgün saglam calisiyor,
ürün güzel begendim tıraş oldum hiç çekme yapmıyor,
Çöp e atacak parası olan HEMEN alsın !!!!,
Ürün hemen bozuldu çin malı zaten 3 kullanımda bozuldu alan pişman olur.,
Ürün güzel, iki günde elime ulaştı. Kesim aparatlarının plastik kalitesi iyi gibi duruyor umarım zamanla gevşeyip kırılmaz.,
urun anlatıldığı gibi geldi teşekkürler,
uzun kil sakal saç kısaltma işi yapmıyor. sadece sıfır kesmek ve kısa olanı dahada kısaltmak için kullanılabilir. neredeyse jilete yakın kısalıkta kesiyor.,
Tavsiye ederim güzel alışveriş,
ürünü beğenmedim sakal almak için yapılmış ama sakalları çekiyor,
urun mukemmel tahris etmiyor sakalı sıfır alıyor berber tavsiyesi ile aldim,
İLK İZLENİM OLARAK GAYET GÜZEL KULLANDIKCA GÖRECEĞİZ BAKALIM,
Herkese tavsiye ederim kesinlikle pişman olmazsınız,
evet çizimi güzel,
alacak arkadaşlar gönül rahatlığıyla alabilir sakal traşı olurken bazı makineler gibi kıl çekme yapmıyor çok stabil ve güzel kesiyor vücut içinde mükemmel aynı yerden 4-5 sefer geçmenize dahi gerek yok biz biraz zorlayıp saç traşı bile olduk bu ürün alınır,
Ürün 20 saatte elime ulaştı teşekkür ederim,
Ürün harika parasını hak ediyor,
İlk izlenim olarak gayet güzel ürün. Sessiz çalışıyor. Sıfıra yakın alıyor. Tavsiye ederim. Kutusunda garanti belgesiyle geldi. Şahsen beğendim.,
Temiz ve güzel ürün tasfiye ederim..,
boş yere markaya para vermeyin derim ürün berberlerin kullandigi ürün büyük markalardan alamadığım verimi bu cihazda aldım. Tavsiye ediyorum,
Fiyatına göre gayet güçlü, güzel, kullanışlı, kaliteli. Emeği geçenlere teşekkür ederim.,
Sıfıra yakın alıyor. Tarakları da özellikle sakal için yeterli,
Ürün çok sesli ve güzel kesmiyor. Ne zaman sakal traşı yapsam ıssırıyor. Yüzüm kan içinde kalıyor.,
güzel ürün teşekkür ederim ??,
Daha iyisi zor olur,
ürünü çok araştırdım bunda karar verdim iyi kide almışım çok zarif çok şık bir makine çift şarj girişi var normal kendi fişi var standlı şarj birde mikro usb girişi var powerbank ilede istediğiniz yerde kullanabilirsiniz tavsiye ederim,
Kuaförüm kullanıyordu. Jilet gibi traş yapıyor. Sakal düzeltme için çok harika bir ürün.,
Teşekkürler ürün anlatıldığı gibi,
ürün ilk geldiğinden kullandım Çok beğendim Size de tavsiye ederim,
Güzel bir ürün tavsiye ederim,
Ürün gayet güzel,önceden de aldığım bir ürün.İçeriğinde de eksik çıkmadı,garanti belgesiyle birlikte güzelce paketlenmişti.Teşekkür ederim.,
Benim gibi yüzünüze jilet vurmuyorsanız, zarar veriyorsa bu traş makinası tam aradığınız diyebilirim, daha önceki traş bıçaklarımla 2-3 kez geçtiğim yerleri tek seferde tertemiz alıyor, kesinlikle kullandığım en iyi makina.,
Bi sıkıntı olmadı zaten bu cihazı başkasında görmüştüm alabilirsiniz sıkıntı yok,
iletişim iyi ürün sağlam ve kullanışlı,
Paketleme süper Ürün çok güzel ve kibar ışıklandırması güzel kullanışlı duruyor ancak kutuyu açtım makineyi çıkardım bıçağın olduğu yerdeki koruma aparatını çıkardım her yerinde küçük kıllar vardı ve iç tarafına sıkışmış uzun kıl vardı büyük ihtimal kullanılmış iade edilmiş ürün gönderdiler,
ürünü henüz deneme fırsatım olmadı memnun olacağımı düşünüyorum. Berberimde görerek sipariş verdim ense sakal vs için çok uygun olduğunu söyledi.,
gerçekten tam bir küçük dev..ufacık duruyor ama zehir gibi çalîşıyor,
Anlatıldığı gibi işlevsel bir ürün. Bıçağı gayet keskin. Küçük boyutlu olması sakal düzeltmede çok kullanışlı hale geliyor. Kısacası beklentimi karşıladı.,
7-8 senedir Powertech RFC - 258 ürününü kullanıyordum ve çok memnundum. Temizlerken kırıldı ve Powertech markasına güvendiğim için TR 658 ürününü aldım. TR 658 ürününden pek memnun olduğumu söyleyemeyeceğim. Daha yüksek fiyatlı olmasına rağmen RFC 258’den bariz bir şekilde kullanışsız bir ürün.,
Ürünü yanaklarımı traş ederek kullandım güzel jilet gibi alması zaten mümkün değil ama sıfıra yakın traş ediyor birde ıslak kurusu olsaymış iyiymiş,
Daha önce kullandığım aynı marka cihazlardan çok daha mükemmel.Kısacası tereddüt etmeden alıp kullanabilirsiniz.,
Fiyat performans ürünü. Şarjı başarılı,
Ürünü geçtiğimiz günlerde almıştım. Kullanmamıştım. Şimdi denedim. Sakal traşı için almıştım ve 30 saniye falan sürdü sanırım traş olmam. jilet gibi çok güzel temizliyor. bir arkadaşım bende bu ürünü görüğü için bana da hediye et demesi üzerine ikinci ürünüde almış bulundum... kaliteli parasını fazlasıyla hak eden kral bir makine.,
Cooooooooook begendim,
