Item,Group,ParticipantNo,EventTime,WordOrder,Set,Structure,Correct,Plausible
64,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235936560,reversed,symmetrical,passive,correct,yes
32,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655236960080,nonreversed,irreversible,active,correct,yes
27,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655236962868,reversed,irreversible,passive,correct,no
6,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655236966140,nonreversed,biased,passive,correct,yes
56,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655236969258,nonreversed,symmetrical,active,correct,yes
42,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655236974781,nonreversed,irreversible,passive,correct,yes
25,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655236977890,reversed,irreversible,active,correct,no
10,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655236981347,nonreversed,biased,passive,correct,yes
20,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655236983946,nonreversed,biased,active,correct,yes
50,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655236986735,nonreversed,symmetrical,passive,correct,yes
3,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655236989717,reversed,biased,passive,incorrect,no
72,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655236994143,nonreversed,symmetrical,active,correct,yes
71,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237001536,reversed,symmetrical,passive,correct,yes
49,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237003869,reversed,symmetrical,active,correct,yes
2,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237009460,nonreversed,biased,passive,correct,yes
29,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237011545,reversed,irreversible,active,correct,no
61,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237013982,reversed,symmetrical,active,correct,yes
48,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237016187,nonreversed,irreversible,active,correct,yes
59,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237021954,reversed,symmetrical,passive,incorrect,yes
31,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237023990,reversed,irreversible,passive,correct,no
70,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237025952,nonreversed,symmetrical,passive,incorrect,yes
51,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237028055,reversed,symmetrical,passive,incorrect,yes
47,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237030604,reversed,irreversible,passive,correct,no
69,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237034902,reversed,symmetrical,active,correct,yes
41,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237037377,reversed,irreversible,active,correct,no
57,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237040061,reversed,symmetrical,active,correct,yes
64,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237043621,nonreversed,symmetrical,active,correct,yes
9,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237045479,reversed,biased,active,correct,no
44,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237047932,nonreversed,irreversible,active,correct,yes
46,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237052002,nonreversed,irreversible,passive,correct,yes
11,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237055021,reversed,biased,passive,correct,no
60,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237056455,nonreversed,symmetrical,active,correct,yes
54,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237060824,nonreversed,symmetrical,passive,correct,yes
13,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237063630,reversed,biased,active,correct,no
45,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237066555,reversed,irreversible,active,correct,no
17,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237068201,reversed,biased,active,correct,no
68,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237070169,nonreversed,symmetrical,active,correct,yes
5,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237072238,reversed,biased,active,correct,no
52,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237076496,nonreversed,symmetrical,active,correct,yes
15,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237081344,reversed,biased,passive,incorrect,no
58,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237085893,nonreversed,symmetrical,passive,correct,yes
1,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237088082,reversed,biased,active,correct,no
19,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237091055,reversed,biased,passive,correct,no
63,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237097264,reversed,symmetrical,passive,correct,yes
34,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237102624,nonreversed,irreversible,passive,correct,yes
23,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237105018,reversed,biased,passive,correct,no
14,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237107600,nonreversed,biased,passive,correct,yes
62,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237111780,nonreversed,symmetrical,passive,correct,yes
38,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237115129,nonreversed,irreversible,passive,correct,yes
53,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237117197,reversed,symmetrical,active,correct,yes
22,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237120527,nonreversed,biased,passive,correct,yes
8,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237122237,nonreversed,biased,active,correct,yes
40,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237123557,nonreversed,irreversible,active,correct,yes
33,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237125176,reversed,irreversible,active,correct,no
67,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237129058,reversed,symmetrical,passive,incorrect,yes
18,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237133604,nonreversed,biased,passive,correct,yes
36,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237137705,nonreversed,irreversible,active,correct,yes
66,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237145465,nonreversed,symmetrical,passive,correct,yes
12,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237148283,nonreversed,biased,active,correct,yes
4,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237149726,nonreversed,biased,active,correct,yes
24,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237155014,nonreversed,biased,active,correct,yes
65,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237156510,reversed,symmetrical,active,correct,yes
21,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237160952,reversed,biased,active,correct,no
7,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237167991,reversed,biased,passive,correct,no
35,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237170471,reversed,irreversible,passive,correct,no
39,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237172118,reversed,irreversible,passive,correct,no
43,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237177584,reversed,irreversible,passive,correct,no
26,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237179485,nonreversed,irreversible,passive,correct,yes
37,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237182860,reversed,irreversible,active,correct,no
30,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237187181,nonreversed,irreversible,passive,correct,yes
55,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237191517,reversed,symmetrical,passive,correct,yes
16,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237193324,nonreversed,biased,active,correct,yes
28,2,7d73e1a0f52fe5f1e8392fb93b2c4e01,1655237195447,nonreversed,irreversible,active,correct,yes
13,2,067c9e44e5e90cce81ce2da8c530e374,1655237244347,reversed,biased,active,correct,no
71,2,067c9e44e5e90cce81ce2da8c530e374,1655237249032,reversed,symmetrical,passive,correct,yes
4,2,067c9e44e5e90cce81ce2da8c530e374,1655237251180,nonreversed,biased,active,correct,yes
65,2,067c9e44e5e90cce81ce2da8c530e374,1655237253419,reversed,symmetrical,active,correct,yes
11,2,067c9e44e5e90cce81ce2da8c530e374,1655237257148,reversed,biased,passive,correct,no
24,2,067c9e44e5e90cce81ce2da8c530e374,1655237259354,nonreversed,biased,active,correct,yes
33,2,067c9e44e5e90cce81ce2da8c530e374,1655237261995,reversed,irreversible,active,correct,no
61,2,067c9e44e5e90cce81ce2da8c530e374,1655237265406,reversed,symmetrical,active,correct,yes
15,2,067c9e44e5e90cce81ce2da8c530e374,1655237269818,reversed,biased,passive,correct,no
69,2,067c9e44e5e90cce81ce2da8c530e374,1655237275614,reversed,symmetrical,active,correct,yes
22,2,067c9e44e5e90cce81ce2da8c530e374,1655237280735,nonreversed,biased,passive,correct,yes
63,2,067c9e44e5e90cce81ce2da8c530e374,1655237284042,reversed,symmetrical,passive,correct,yes
25,2,067c9e44e5e90cce81ce2da8c530e374,1655237286533,reversed,irreversible,active,correct,no
28,2,067c9e44e5e90cce81ce2da8c530e374,1655237289189,nonreversed,irreversible,active,correct,yes
18,2,067c9e44e5e90cce81ce2da8c530e374,1655237292956,nonreversed,biased,passive,correct,yes
49,2,067c9e44e5e90cce81ce2da8c530e374,1655237295910,reversed,symmetrical,active,correct,yes
27,2,067c9e44e5e90cce81ce2da8c530e374,1655237301292,reversed,irreversible,passive,correct,no
62,2,067c9e44e5e90cce81ce2da8c530e374,1655237306499,nonreversed,symmetrical,passive,correct,yes
6,2,067c9e44e5e90cce81ce2da8c530e374,1655237311357,nonreversed,biased,passive,correct,yes
72,2,067c9e44e5e90cce81ce2da8c530e374,1655237314520,nonreversed,symmetrical,active,correct,yes
59,2,067c9e44e5e90cce81ce2da8c530e374,1655237319972,reversed,symmetrical,passive,incorrect,yes
55,2,067c9e44e5e90cce81ce2da8c530e374,1655237323135,reversed,symmetrical,passive,correct,yes
40,2,067c9e44e5e90cce81ce2da8c530e374,1655237324920,nonreversed,irreversible,active,correct,yes
34,2,067c9e44e5e90cce81ce2da8c530e374,1655237327651,nonreversed,irreversible,passive,correct,yes
3,2,067c9e44e5e90cce81ce2da8c530e374,1655237330573,reversed,biased,passive,correct,no
48,2,067c9e44e5e90cce81ce2da8c530e374,1655237333134,nonreversed,irreversible,active,correct,yes
1,2,067c9e44e5e90cce81ce2da8c530e374,1655237336095,reversed,biased,active,correct,no
38,2,067c9e44e5e90cce81ce2da8c530e374,1655237338815,nonreversed,irreversible,passive,correct,yes
35,2,067c9e44e5e90cce81ce2da8c530e374,1655237341425,reversed,irreversible,passive,correct,no
56,2,067c9e44e5e90cce81ce2da8c530e374,1655237345000,nonreversed,symmetrical,active,correct,yes
37,2,067c9e44e5e90cce81ce2da8c530e374,1655237347865,reversed,irreversible,active,correct,no
14,2,067c9e44e5e90cce81ce2da8c530e374,1655237349664,nonreversed,biased,passive,correct,yes
66,2,067c9e44e5e90cce81ce2da8c530e374,1655237357069,nonreversed,symmetrical,passive,correct,yes
5,2,067c9e44e5e90cce81ce2da8c530e374,1655237360231,reversed,biased,active,correct,no
50,2,067c9e44e5e90cce81ce2da8c530e374,1655237362993,nonreversed,symmetrical,passive,correct,yes
29,2,067c9e44e5e90cce81ce2da8c530e374,1655237365603,reversed,irreversible,active,correct,no
60,2,067c9e44e5e90cce81ce2da8c530e374,1655237367562,nonreversed,symmetrical,active,correct,yes
2,2,067c9e44e5e90cce81ce2da8c530e374,1655237370331,nonreversed,biased,passive,correct,yes
30,2,067c9e44e5e90cce81ce2da8c530e374,1655237373425,nonreversed,irreversible,passive,correct,yes
32,2,067c9e44e5e90cce81ce2da8c530e374,1655237377317,nonreversed,irreversible,active,correct,yes
44,2,067c9e44e5e90cce81ce2da8c530e374,1655237379025,nonreversed,irreversible,active,incorrect,yes
20,2,067c9e44e5e90cce81ce2da8c530e374,1655237383073,nonreversed,biased,active,correct,yes
42,2,067c9e44e5e90cce81ce2da8c530e374,1655237385956,nonreversed,irreversible,passive,correct,yes
41,2,067c9e44e5e90cce81ce2da8c530e374,1655237388171,reversed,irreversible,active,correct,no
10,2,067c9e44e5e90cce81ce2da8c530e374,1655237391439,nonreversed,biased,passive,correct,yes
16,2,067c9e44e5e90cce81ce2da8c530e374,1655237393616,nonreversed,biased,active,correct,yes
64,2,067c9e44e5e90cce81ce2da8c530e374,1655237395618,nonreversed,symmetrical,active,correct,yes
57,2,067c9e44e5e90cce81ce2da8c530e374,1655237400889,reversed,symmetrical,active,correct,yes
26,2,067c9e44e5e90cce81ce2da8c530e374,1655237403137,nonreversed,irreversible,passive,correct,yes
51,2,067c9e44e5e90cce81ce2da8c530e374,1655237405845,reversed,symmetrical,passive,incorrect,yes
67,2,067c9e44e5e90cce81ce2da8c530e374,1655237412847,reversed,symmetrical,passive,incorrect,yes
70,2,067c9e44e5e90cce81ce2da8c530e374,1655237418282,nonreversed,symmetrical,passive,correct,yes
8,2,067c9e44e5e90cce81ce2da8c530e374,1655237420235,nonreversed,biased,active,correct,yes
53,2,067c9e44e5e90cce81ce2da8c530e374,1655237422423,reversed,symmetrical,active,correct,yes
12,2,067c9e44e5e90cce81ce2da8c530e374,1655237424182,nonreversed,biased,active,correct,yes
54,2,067c9e44e5e90cce81ce2da8c530e374,1655237428004,nonreversed,symmetrical,passive,correct,yes
21,2,067c9e44e5e90cce81ce2da8c530e374,1655237432633,reversed,biased,active,incorrect,no
7,2,067c9e44e5e90cce81ce2da8c530e374,1655237439062,reversed,biased,passive,correct,no
39,2,067c9e44e5e90cce81ce2da8c530e374,1655237441599,reversed,irreversible,passive,incorrect,no
52,2,067c9e44e5e90cce81ce2da8c530e374,1655237447036,nonreversed,symmetrical,active,correct,yes
58,2,067c9e44e5e90cce81ce2da8c530e374,1655237455542,nonreversed,symmetrical,passive,correct,yes
43,2,067c9e44e5e90cce81ce2da8c530e374,1655237458664,reversed,irreversible,passive,correct,no
45,2,067c9e44e5e90cce81ce2da8c530e374,1655237462938,reversed,irreversible,active,correct,no
31,2,067c9e44e5e90cce81ce2da8c530e374,1655237466245,reversed,irreversible,passive,correct,no
46,2,067c9e44e5e90cce81ce2da8c530e374,1655237468438,nonreversed,irreversible,passive,correct,yes
68,2,067c9e44e5e90cce81ce2da8c530e374,1655237470241,nonreversed,symmetrical,active,correct,yes
9,2,067c9e44e5e90cce81ce2da8c530e374,1655237472129,reversed,biased,active,incorrect,no
19,2,067c9e44e5e90cce81ce2da8c530e374,1655237475830,reversed,biased,passive,correct,no
36,2,067c9e44e5e90cce81ce2da8c530e374,1655237478257,nonreversed,irreversible,active,correct,yes
17,2,067c9e44e5e90cce81ce2da8c530e374,1655237479738,reversed,biased,active,correct,no
23,2,067c9e44e5e90cce81ce2da8c530e374,1655237482452,reversed,biased,passive,correct,no
47,2,067c9e44e5e90cce81ce2da8c530e374,1655237489878,reversed,irreversible,passive,correct,no
43,4,8bf270609ad53a42a7af44e06da0b281,1655237921240,reversed,irreversible,active,correct,no
62,4,8bf270609ad53a42a7af44e06da0b281,1655237924258,reversed,symmetrical,passive,correct,yes
27,4,8bf270609ad53a42a7af44e06da0b281,1655237926134,nonreversed,irreversible,active,correct,yes
60,4,8bf270609ad53a42a7af44e06da0b281,1655237928289,nonreversed,symmetrical,passive,correct,yes
65,4,8bf270609ad53a42a7af44e06da0b281,1655237930739,reversed,symmetrical,passive,correct,yes
49,4,8bf270609ad53a42a7af44e06da0b281,1655237932934,reversed,symmetrical,passive,correct,yes
31,4,8bf270609ad53a42a7af44e06da0b281,1655237934524,reversed,irreversible,active,correct,no
58,4,8bf270609ad53a42a7af44e06da0b281,1655237936850,nonreversed,symmetrical,active,correct,yes
69,4,8bf270609ad53a42a7af44e06da0b281,1655237938749,reversed,symmetrical,passive,correct,yes
71,4,8bf270609ad53a42a7af44e06da0b281,1655237941114,nonreversed,symmetrical,active,correct,yes
9,4,8bf270609ad53a42a7af44e06da0b281,1655237942909,reversed,biased,passive,correct,no
16,4,8bf270609ad53a42a7af44e06da0b281,1655237946180,nonreversed,biased,passive,correct,yes
5,4,8bf270609ad53a42a7af44e06da0b281,1655237947556,reversed,biased,passive,correct,no
66,4,8bf270609ad53a42a7af44e06da0b281,1655237949291,nonreversed,symmetrical,active,correct,yes
67,4,8bf270609ad53a42a7af44e06da0b281,1655237951472,nonreversed,symmetrical,active,correct,yes
15,4,8bf270609ad53a42a7af44e06da0b281,1655237953209,reversed,biased,active,correct,no
46,4,8bf270609ad53a42a7af44e06da0b281,1655237954312,nonreversed,irreversible,active,correct,yes
37,4,8bf270609ad53a42a7af44e06da0b281,1655237956494,reversed,irreversible,passive,incorrect,no
24,4,8bf270609ad53a42a7af44e06da0b281,1655237963027,nonreversed,biased,passive,correct,yes
22,4,8bf270609ad53a42a7af44e06da0b281,1655237964556,nonreversed,biased,active,correct,yes
12,4,8bf270609ad53a42a7af44e06da0b281,1655237966430,nonreversed,biased,passive,correct,yes
70,4,8bf270609ad53a42a7af44e06da0b281,1655237968405,nonreversed,symmetrical,active,correct,yes
18,4,8bf270609ad53a42a7af44e06da0b281,1655237972242,nonreversed,biased,active,incorrect,yes
30,4,8bf270609ad53a42a7af44e06da0b281,1655237973660,nonreversed,irreversible,active,correct,yes
68,4,8bf270609ad53a42a7af44e06da0b281,1655237976448,nonreversed,symmetrical,passive,correct,yes
2,4,8bf270609ad53a42a7af44e06da0b281,1655237977599,nonreversed,biased,active,correct,yes
45,4,8bf270609ad53a42a7af44e06da0b281,1655237980426,reversed,irreversible,passive,correct,no
40,4,8bf270609ad53a42a7af44e06da0b281,1655237981888,nonreversed,irreversible,passive,correct,yes
11,4,8bf270609ad53a42a7af44e06da0b281,1655237983353,reversed,biased,active,correct,no
34,4,8bf270609ad53a42a7af44e06da0b281,1655237984612,nonreversed,irreversible,active,correct,yes
38,4,8bf270609ad53a42a7af44e06da0b281,1655237985872,nonreversed,irreversible,active,correct,yes
50,4,8bf270609ad53a42a7af44e06da0b281,1655237986962,nonreversed,symmetrical,active,correct,yes
47,4,8bf270609ad53a42a7af44e06da0b281,1655237987879,nonreversed,irreversible,active,correct,yes
32,4,8bf270609ad53a42a7af44e06da0b281,1655237990676,nonreversed,irreversible,passive,correct,yes
53,4,8bf270609ad53a42a7af44e06da0b281,1655237992491,reversed,symmetrical,passive,correct,yes
26,4,8bf270609ad53a42a7af44e06da0b281,1655237994066,reversed,irreversible,passive,incorrect,no
54,4,8bf270609ad53a42a7af44e06da0b281,1655237995339,nonreversed,symmetrical,active,correct,yes
48,4,8bf270609ad53a42a7af44e06da0b281,1655237997682,nonreversed,irreversible,passive,correct,yes
55,4,8bf270609ad53a42a7af44e06da0b281,1655237998757,reversed,symmetrical,active,correct,yes
56,4,8bf270609ad53a42a7af44e06da0b281,1655238001506,nonreversed,symmetrical,passive,correct,yes
44,4,8bf270609ad53a42a7af44e06da0b281,1655238003031,nonreversed,irreversible,passive,correct,yes
29,4,8bf270609ad53a42a7af44e06da0b281,1655238004898,reversed,irreversible,passive,correct,no
6,4,8bf270609ad53a42a7af44e06da0b281,1655238006870,nonreversed,biased,active,correct,yes
19,4,8bf270609ad53a42a7af44e06da0b281,1655238008314,reversed,biased,active,correct,no
61,4,8bf270609ad53a42a7af44e06da0b281,1655238009955,reversed,symmetrical,passive,correct,yes
13,4,8bf270609ad53a42a7af44e06da0b281,1655238012327,reversed,biased,passive,incorrect,no
