"","Results.reception.time","MD5.hash.of.participant.s.IP.address","Controller.name","Order.number.of.item","Inner.element.number","Label","Latin.Square.Group","PennElementType","PennElementName","Parameter","Value","EventTime","Item","Group","License.Type","nominalizer","Comments"
"16",1673698477,"1f2df2dd73bc6789fd5c0075bfa03219","PennController",30,0,"Experiment","NULL","Scale","q","Choice","4",1673698459293,"14",1,"long-distance","DIk","NULL"
"17",1673698477,"1f2df2dd73bc6789fd5c0075bfa03219","PennController",29,0,"Experiment","NULL","Scale","q","Choice","5",1673698467569,"13",1,"licensed","DIk","NULL"
"18",1673698477,"1f2df2dd73bc6789fd5c0075bfa03219","PennController",17,0,"Experiment","NULL","Scale","q","Choice","5",1673698471510,"1",1,"licensed","DIk","NULL"
"19",1673699927,"4b52bfa7e8cae6fc05aeb3b0e77aaec9","PennController",26,0,"Experiment","NULL","Scale","q","Choice","1",1673699733500,"10",2,"long-distance","mA","NULL"
"20",1673699927,"4b52bfa7e8cae6fc05aeb3b0e77aaec9","PennController",21,0,"Experiment","NULL","Scale","q","Choice","2",1673699740765,"5",2,"unlicensed","mA","NULL"
"21",1673699927,"4b52bfa7e8cae6fc05aeb3b0e77aaec9","PennController",31,0,"Experiment","NULL","Scale","q","Choice","3",1673699749303,"15",2,"licensed","mA","NULL"
"22",1673699927,"4b52bfa7e8cae6fc05aeb3b0e77aaec9","PennController",18,0,"Experiment","NULL","Scale","q","Choice","2",1673699753780,"2",2,"unlicensed","DIk","NULL"
"23",1673699927,"4b52bfa7e8cae6fc05aeb3b0e77aaec9","PennController",25,0,"Experiment","NULL","Scale","q","Choice","5",1673699777830,"9",2,"licensed","mA","NULL"
"24",1673699927,"4b52bfa7e8cae6fc05aeb3b0e77aaec9","PennController",22,0,"Experiment","NULL","Scale","q","Choice","5",1673699784155,"6",2,"licensed","DIk","NULL"
"25",1673699927,"4b52bfa7e8cae6fc05aeb3b0e77aaec9","PennController",30,0,"Experiment","NULL","Scale","q","Choice","2",1673699788977,"14",2,"unlicensed","DIk","NULL"
"26",1673699927,"4b52bfa7e8cae6fc05aeb3b0e77aaec9","PennController",23,0,"Experiment","NULL","Scale","q","Choice","3",1673699801094,"7",2,"long-distance","DIk","NULL"
"27",1673699927,"4b52bfa7e8cae6fc05aeb3b0e77aaec9","PennController",27,0,"Experiment","NULL","Scale","q","Choice","1",1673699818202,"11",2,"unlicensed","mA","NULL"
"28",1673699927,"4b52bfa7e8cae6fc05aeb3b0e77aaec9","PennController",34,0,"Experiment","NULL","Scale","q","Choice","2",1673699821801,"18",2,"licensed","DIk","NULL"
"29",1673699927,"4b52bfa7e8cae6fc05aeb3b0e77aaec9","PennController",24,0,"Experiment","NULL","Scale","q","Choice","2",1673699839168,"8",2,"unlicensed","DIk","NULL"
"30",1673699927,"4b52bfa7e8cae6fc05aeb3b0e77aaec9","PennController",29,0,"Experiment","NULL","Scale","q","Choice","2",1673699848475,"13",2,"long-distance","DIk","NULL"
"31",1673699927,"4b52bfa7e8cae6fc05aeb3b0e77aaec9","PennController",20,0,"Experiment","NULL","Scale","q","Choice","3",1673699864057,"4",2,"long-distance","mA","NULL"
"32",1673699927,"4b52bfa7e8cae6fc05aeb3b0e77aaec9","PennController",28,0,"Experiment","NULL","Scale","q","Choice","5",1673699868965,"12",2,"licensed","DIk","NULL"
"33",1673699927,"4b52bfa7e8cae6fc05aeb3b0e77aaec9","PennController",17,0,"Experiment","NULL","Scale","q","Choice","3",1673699886313,"1",2,"long-distance","DIk","NULL"
"34",1673699927,"4b52bfa7e8cae6fc05aeb3b0e77aaec9","PennController",33,0,"Experiment","NULL","Scale","q","Choice","2",1673699890688,"17",2,"unlicensed","mA","NULL"
"35",1673699927,"4b52bfa7e8cae6fc05aeb3b0e77aaec9","PennController",32,0,"Experiment","NULL","Scale","q","Choice","1",1673699909059,"16",2,"long-distance","mA","NULL"
"36",1673699927,"4b52bfa7e8cae6fc05aeb3b0e77aaec9","PennController",19,0,"Experiment","NULL","Scale","q","Choice","5",1673699913289,"3",2,"licensed","mA","NULL"
"37",1673708672,"e7fc007856c72f83289be00cf4bf28e6","PennController",18,0,"Experiment","NULL","Scale","q","Choice","1",1673708493093,"2",3,"licensed","mA","NULL"
"38",1673708672,"e7fc007856c72f83289be00cf4bf28e6","PennController",21,0,"Experiment","NULL","Scale","q","Choice","3",1673708509443,"5",3,"licensed","DIk","NULL"
"39",1673708672,"e7fc007856c72f83289be00cf4bf28e6","PennController",27,0,"Experiment","NULL","Scale","q","Choice","5",1673708514718,"11",3,"licensed","DIk","NULL"
"40",1673708672,"e7fc007856c72f83289be00cf4bf28e6","PennController",33,0,"Experiment","NULL","Scale","q","Choice","5",1673708542467,"17",3,"licensed","DIk","NULL"
"41",1673708672,"e7fc007856c72f83289be00cf4bf28e6","PennController",25,0,"Experiment","NULL","Scale","q","Choice","1",1673708548635,"9",3,"long-distance","mA","NULL"
"42",1673708672,"e7fc007856c72f83289be00cf4bf28e6","PennController",20,0,"Experiment","NULL","Scale","q","Choice","1",1673708573220,"4",3,"unlicensed","mA","NULL"
"43",1673708672,"e7fc007856c72f83289be00cf4bf28e6","PennController",34,0,"Experiment","NULL","Scale","q","Choice","5",1673708581726,"18",3,"long-distance","DIk","NULL"
"44",1673708672,"e7fc007856c72f83289be00cf4bf28e6","PennController",29,0,"Experiment","NULL","Scale","q","Choice","5",1673708592219,"13",3,"unlicensed","DIk","NULL"
"45",1673708672,"e7fc007856c72f83289be00cf4bf28e6","PennController",17,0,"Experiment","NULL","Scale","q","Choice","1",1673708595802,"1",3,"unlicensed","DIk","NULL"
"46",1673708672,"e7fc007856c72f83289be00cf4bf28e6","PennController",28,0,"Experiment","NULL","Scale","q","Choice","5",1673708607121,"12",3,"long-distance","DIk","NULL"
"47",1673708672,"e7fc007856c72f83289be00cf4bf28e6","PennController",19,0,"Experiment","NULL","Scale","q","Choice","1",1673708610762,"3",3,"long-distance","mA","NULL"
"48",1673708672,"e7fc007856c72f83289be00cf4bf28e6","PennController",30,0,"Experiment","NULL","Scale","q","Choice","5",1673708626361,"14",3,"licensed","mA","NULL"
"49",1673708672,"e7fc007856c72f83289be00cf4bf28e6","PennController",22,0,"Experiment","NULL","Scale","q","Choice","5",1673708630226,"6",3,"long-distance","DIk","NULL"
"50",1673708672,"e7fc007856c72f83289be00cf4bf28e6","PennController",32,0,"Experiment","NULL","Scale","q","Choice","1",1673708642361,"16",3,"unlicensed","mA","NULL"
"51",1673708672,"e7fc007856c72f83289be00cf4bf28e6","PennController",26,0,"Experiment","NULL","Scale","q","Choice","2",1673708645838,"10",3,"unlicensed","mA","NULL"
"52",1673708672,"e7fc007856c72f83289be00cf4bf28e6","PennController",24,0,"Experiment","NULL","Scale","q","Choice","5",1673708655001,"8",3,"licensed","mA","NULL"
"53",1673708672,"e7fc007856c72f83289be00cf4bf28e6","PennController",31,0,"Experiment","NULL","Scale","q","Choice","1",1673708662050,"15",3,"long-distance","mA","NULL"
"54",1673708672,"e7fc007856c72f83289be00cf4bf28e6","PennController",23,0,"Experiment","NULL","Scale","q","Choice","1",1673708672020,"7",3,"unlicensed","DIk","NULL"
"55",1673715870,"9c30698bc843870969fd76e980e309b0","PennController",33,0,"Experiment","NULL","Scale","q","Choice","2",1673715753420,"17",4,"long-distance","DIk","NULL"
"56",1673715870,"9c30698bc843870969fd76e980e309b0","PennController",17,0,"Experiment","NULL","Scale","q","Choice","1",1673715758091,"1",4,"licensed","mA","NULL"
"57",1673715870,"9c30698bc843870969fd76e980e309b0","PennController",28,0,"Experiment","NULL","Scale","q","Choice","1",1673715766548,"12",4,"unlicensed","DIk","NULL"
"58",1673715870,"9c30698bc843870969fd76e980e309b0","PennController",26,0,"Experiment","NULL","Scale","q","Choice","3",1673715770091,"10",4,"licensed","DIk","NULL"
"59",1673715870,"9c30698bc843870969fd76e980e309b0","PennController",29,0,"Experiment","NULL","Scale","q","Choice","5",1673715780402,"13",4,"licensed","mA","NULL"
"60",1673715870,"9c30698bc843870969fd76e980e309b0","PennController",31,0,"Experiment","NULL","Scale","q","Choice","1",1673715785755,"15",4,"unlicensed","mA","NULL"
"61",1673715870,"9c30698bc843870969fd76e980e309b0","PennController",32,0,"Experiment","NULL","Scale","q","Choice","4",1673715793211,"16",4,"licensed","DIk","NULL"
"62",1673715870,"9c30698bc843870969fd76e980e309b0","PennController",25,0,"Experiment","NULL","Scale","q","Choice","1",1673715797171,"9",4,"unlicensed","mA","NULL"
"63",1673715870,"9c30698bc843870969fd76e980e309b0","PennController",19,0,"Experiment","NULL","Scale","q","Choice","1",1673715807123,"3",4,"unlicensed","mA","NULL"
"64",1673715870,"9c30698bc843870969fd76e980e309b0","PennController",20,0,"Experiment","NULL","Scale","q","Choice","3",1673715811043,"4",4,"licensed","DIk","NULL"
"65",1673715870,"9c30698bc843870969fd76e980e309b0","PennController",27,0,"Experiment","NULL","Scale","q","Choice","1",1673715819347,"11",4,"long-distance","DIk","NULL"
"66",1673715870,"9c30698bc843870969fd76e980e309b0","PennController",22,0,"Experiment","NULL","Scale","q","Choice","1",1673715822364,"6",4,"unlicensed","DIk","NULL"
"67",1673715870,"9c30698bc843870969fd76e980e309b0","PennController",18,0,"Experiment","NULL","Scale","q","Choice","1",1673715832546,"2",4,"long-distance","mA","NULL"
"68",1673715870,"9c30698bc843870969fd76e980e309b0","PennController",23,0,"Experiment","NULL","Scale","q","Choice","2",1673715836787,"7",4,"licensed","mA","NULL"
"69",1673715870,"9c30698bc843870969fd76e980e309b0","PennController",30,0,"Experiment","NULL","Scale","q","Choice","2",1673715847482,"14",4,"long-distance","mA","NULL"
"70",1673715870,"9c30698bc843870969fd76e980e309b0","PennController",21,0,"Experiment","NULL","Scale","q","Choice","1",1673715850970,"5",4,"long-distance","DIk","NULL"
"71",1673715870,"9c30698bc843870969fd76e980e309b0","PennController",24,0,"Experiment","NULL","Scale","q","Choice","1",1673715859578,"8",4,"long-distance","mA","NULL"
"72",1673715870,"9c30698bc843870969fd76e980e309b0","PennController",34,0,"Experiment","NULL","Scale","q","Choice","1",1673715862812,"18",4,"unlicensed","DIk","NULL"
"73",1673715880,"74f9c24bd4311d967c2631ce1f76c532","PennController",17,0,"Experiment","NULL","Scale","q","Choice","1",1673715746540,"1",4,"licensed","mA","NULL"
"74",1673715880,"74f9c24bd4311d967c2631ce1f76c532","PennController",34,0,"Experiment","NULL","Scale","q","Choice","2",1673715757594,"18",4,"unlicensed","DIk","NULL"
"75",1673715880,"74f9c24bd4311d967c2631ce1f76c532","PennController",26,0,"Experiment","NULL","Scale","q","Choice","4",1673715760536,"10",4,"licensed","DIk","NULL"
"76",1673715880,"74f9c24bd4311d967c2631ce1f76c532","PennController",24,0,"Experiment","NULL","Scale","q","Choice","1",1673715770804,"8",4,"long-distance","mA","NULL"
"77",1673715880,"74f9c24bd4311d967c2631ce1f76c532","PennController",23,0,"Experiment","NULL","Scale","q","Choice","1",1673715779122,"7",4,"licensed","mA","NULL"
"78",1673715880,"74f9c24bd4311d967c2631ce1f76c532","PennController",21,0,"Experiment","NULL","Scale","q","Choice","4",1673715803513,"5",4,"long-distance","DIk","NULL"
"79",1673715880,"74f9c24bd4311d967c2631ce1f76c532","PennController",28,0,"Experiment","NULL","Scale","q","Choice","2",1673715806002,"12",4,"unlicensed","DIk","NULL"
"80",1673715880,"74f9c24bd4311d967c2631ce1f76c532","PennController",25,0,"Experiment","NULL","Scale","q","Choice","1",1673715813811,"9",4,"unlicensed","mA","NULL"
"81",1673715880,"74f9c24bd4311d967c2631ce1f76c532","PennController",30,0,"Experiment","NULL","Scale","q","Choice","1",1673715824861,"14",4,"long-distance","mA","NULL"
"82",1673715880,"74f9c24bd4311d967c2631ce1f76c532","PennController",31,0,"Experiment","NULL","Scale","q","Choice","1",1673715834231,"15",4,"unlicensed","mA","NULL"
"83",1673715880,"74f9c24bd4311d967c2631ce1f76c532","PennController",32,0,"Experiment","NULL","Scale","q","Choice","4",1673715838294,"16",4,"licensed","DIk","NULL"
"84",1673715880,"74f9c24bd4311d967c2631ce1f76c532","PennController",27,0,"Experiment","NULL","Scale","q","Choice","1",1673715844805,"11",4,"long-distance","DIk","NULL"
"85",1673715880,"74f9c24bd4311d967c2631ce1f76c532","PennController",19,0,"Experiment","NULL","Scale","q","Choice","1",1673715847194,"3",4,"unlicensed","mA","NULL"
"86",1673715880,"74f9c24bd4311d967c2631ce1f76c532","PennController",20,0,"Experiment","NULL","Scale","q","Choice","4",1673715853549,"4",4,"licensed","DIk","NULL"
"87",1673715880,"74f9c24bd4311d967c2631ce1f76c532","PennController",22,0,"Experiment","NULL","Scale","q","Choice","1",1673715857141,"6",4,"unlicensed","DIk","NULL"
"88",1673715880,"74f9c24bd4311d967c2631ce1f76c532","PennController",33,0,"Experiment","NULL","Scale","q","Choice","1",1673715867057,"17",4,"long-distance","DIk","NULL"
"89",1673715880,"74f9c24bd4311d967c2631ce1f76c532","PennController",29,0,"Experiment","NULL","Scale","q","Choice","4",1673715873757,"13",4,"licensed","mA","NULL"
"90",1673715880,"74f9c24bd4311d967c2631ce1f76c532","PennController",18,0,"Experiment","NULL","Scale","q","Choice","1",1673715879626,"2",4,"long-distance","mA","NULL"
"91",1673715951,"6a86880a8281137bcd7273156587536a","PennController",18,0,"Experiment","NULL","Scale","q","Choice","2",1673715671729,"2",4,"long-distance","mA","NULL"
"92",1673715951,"6a86880a8281137bcd7273156587536a","PennController",34,0,"Experiment","NULL","Scale","q","Choice","1",1673715685296,"18",4,"unlicensed","DIk","NULL"
"93",1673715951,"6a86880a8281137bcd7273156587536a","PennController",20,0,"Experiment","NULL","Scale","q","Choice","5",1673715690243,"4",4,"licensed","DIk","NULL"
"94",1673715951,"6a86880a8281137bcd7273156587536a","PennController",27,0,"Experiment","NULL","Scale","q","Choice","2",1673715740710,"11",4,"long-distance","DIk","NULL"
"95",1673715951,"6a86880a8281137bcd7273156587536a","PennController",17,0,"Experiment","NULL","Scale","q","Choice","4",1673715785020,"1",4,"licensed","mA","NULL"
"96",1673715951,"6a86880a8281137bcd7273156587536a","PennController",23,0,"Experiment","NULL","Scale","q","Choice","5",1673715804993,"7",4,"licensed","mA","NULL"
"97",1673715951,"6a86880a8281137bcd7273156587536a","PennController",30,0,"Experiment","NULL","Scale","q","Choice","4",1673715819638,"14",4,"long-distance","mA","NULL"
"98",1673715951,"6a86880a8281137bcd7273156587536a","PennController",24,0,"Experiment","NULL","Scale","q","Choice","4",1673715838025,"8",4,"long-distance","mA","NULL"
"99",1673715951,"6a86880a8281137bcd7273156587536a","PennController",29,0,"Experiment","NULL","Scale","q","Choice","5",1673715855082,"13",4,"licensed","mA","NULL"
"100",1673715951,"6a86880a8281137bcd7273156587536a","PennController",25,0,"Experiment","NULL","Scale","q","Choice","1",1673715872364,"9",4,"unlicensed","mA","NULL"
"101",1673715951,"6a86880a8281137bcd7273156587536a","PennController",33,0,"Experiment","NULL","Scale","q","Choice","2",1673715885543,"17",4,"long-distance","DIk","NULL"
"102",1673715951,"6a86880a8281137bcd7273156587536a","PennController",31,0,"Experiment","NULL","Scale","q","Choice","1",1673715897105,"15",4,"unlicensed","mA","NULL"
"103",1673715951,"6a86880a8281137bcd7273156587536a","PennController",28,0,"Experiment","NULL","Scale","q","Choice","1",1673715902279,"12",4,"unlicensed","DIk","NULL"
"104",1673715951,"6a86880a8281137bcd7273156587536a","PennController",19,0,"Experiment","NULL","Scale","q","Choice","1",1673715912769,"3",4,"unlicensed","mA","NULL"
"105",1673715951,"6a86880a8281137bcd7273156587536a","PennController",21,0,"Experiment","NULL","Scale","q","Choice","5",1673715921423,"5",4,"long-distance","DIk","NULL"
"106",1673715951,"6a86880a8281137bcd7273156587536a","PennController",26,0,"Experiment","NULL","Scale","q","Choice","5",1673715928198,"10",4,"licensed","DIk","NULL"
"107",1673715951,"6a86880a8281137bcd7273156587536a","PennController",32,0,"Experiment","NULL","Scale","q","Choice","5",1673715931295,"16",4,"licensed","DIk","NULL"
"108",1673715951,"6a86880a8281137bcd7273156587536a","PennController",22,0,"Experiment","NULL","Scale","q","Choice","1",1673715950348,"6",4,"unlicensed","DIk","NULL"
"109",1673716045,"baf0198477e343cef9066205469fcce7","PennController",20,0,"Experiment","NULL","Scale","q","Choice","5",1673715860303,"4",4,"licensed","DIk","NULL"
"110",1673716045,"baf0198477e343cef9066205469fcce7","PennController",19,0,"Experiment","NULL","Scale","q","Choice","1",1673715866260,"3",4,"unlicensed","mA","NULL"
"111",1673716045,"baf0198477e343cef9066205469fcce7","PennController",34,0,"Experiment","NULL","Scale","q","Choice","1",1673715880936,"18",4,"unlicensed","DIk","NULL"
"112",1673716045,"baf0198477e343cef9066205469fcce7","PennController",33,0,"Experiment","NULL","Scale","q","Choice","4",1673715884830,"17",4,"long-distance","DIk","NULL"
"113",1673716045,"baf0198477e343cef9066205469fcce7","PennController",28,0,"Experiment","NULL","Scale","q","Choice","1",1673715895775,"12",4,"unlicensed","DIk","NULL"
"114",1673716045,"baf0198477e343cef9066205469fcce7","PennController",30,0,"Experiment","NULL","Scale","q","Choice","1",1673715900005,"14",4,"long-distance","mA","NULL"
"115",1673716045,"baf0198477e343cef9066205469fcce7","PennController",29,0,"Experiment","NULL","Scale","q","Choice","5",1673715912291,"13",4,"licensed","mA","NULL"
"116",1673716045,"baf0198477e343cef9066205469fcce7","PennController",26,0,"Experiment","NULL","Scale","q","Choice","5",1673715948809,"10",4,"licensed","DIk","NULL"
"117",1673716045,"baf0198477e343cef9066205469fcce7","PennController",25,0,"Experiment","NULL","Scale","q","Choice","5",1673715957664,"9",4,"unlicensed","mA","NULL"
"118",1673716045,"baf0198477e343cef9066205469fcce7","PennController",23,0,"Experiment","NULL","Scale","q","Choice","5",1673715962798,"7",4,"licensed","mA","NULL"
"119",1673716045,"baf0198477e343cef9066205469fcce7","PennController",21,0,"Experiment","NULL","Scale","q","Choice","5",1673715972469,"5",4,"long-distance","DIk","NULL"
"120",1673716045,"baf0198477e343cef9066205469fcce7","PennController",31,0,"Experiment","NULL","Scale","q","Choice","1",1673715982598,"15",4,"unlicensed","mA","NULL"
"121",1673716045,"baf0198477e343cef9066205469fcce7","PennController",17,0,"Experiment","NULL","Scale","q","Choice","2",1673716008225,"1",4,"licensed","mA","NULL"
"122",1673716045,"baf0198477e343cef9066205469fcce7","PennController",27,0,"Experiment","NULL","Scale","q","Choice","3",1673716031587,"11",4,"long-distance","DIk","NULL"
"123",1673716045,"baf0198477e343cef9066205469fcce7","PennController",18,0,"Experiment","NULL","Scale","q","Choice","3",1673716043337,"2",4,"long-distance","mA","NULL"
"124",1673716045,"baf0198477e343cef9066205469fcce7","PennController",24,0,"Experiment","NULL","Scale","q","Choice","3",1673716043873,"8",4,"long-distance","mA","NULL"
"125",1673716045,"baf0198477e343cef9066205469fcce7","PennController",22,0,"Experiment","NULL","Scale","q","Choice","3",1673716044797,"6",4,"unlicensed","DIk","NULL"
"126",1673716045,"baf0198477e343cef9066205469fcce7","PennController",32,0,"Experiment","NULL","Scale","q","Choice","3",1673716045231,"16",4,"licensed","DIk","NULL"
"127",1673716078,"efdf986863beefd6efbc08472c9ffd20","PennController",19,0,"Experiment","NULL","Scale","q","Choice","1",1673715938606,"3",4,"unlicensed","mA","NULL"
"128",1673716078,"efdf986863beefd6efbc08472c9ffd20","PennController",21,0,"Experiment","NULL","Scale","q","Choice","4",1673715942449,"5",4,"long-distance","DIk","NULL"
"129",1673716078,"efdf986863beefd6efbc08472c9ffd20","PennController",27,0,"Experiment","NULL","Scale","q","Choice","3",1673715950738,"11",4,"long-distance","DIk","NULL"
"130",1673716078,"efdf986863beefd6efbc08472c9ffd20","PennController",25,0,"Experiment","NULL","Scale","q","Choice","1",1673715956225,"9",4,"unlicensed","mA","NULL"
"131",1673716078,"efdf986863beefd6efbc08472c9ffd20","PennController",23,0,"Experiment","NULL","Scale","q","Choice","4",1673715970360,"7",4,"licensed","mA","NULL"
"132",1673716078,"efdf986863beefd6efbc08472c9ffd20","PennController",22,0,"Experiment","NULL","Scale","q","Choice","2",1673715973834,"6",4,"unlicensed","DIk","NULL"
"133",1673716078,"efdf986863beefd6efbc08472c9ffd20","PennController",31,0,"Experiment","NULL","Scale","q","Choice","2",1673715981741,"15",4,"unlicensed","mA","NULL"
"134",1673716078,"efdf986863beefd6efbc08472c9ffd20","PennController",28,0,"Experiment","NULL","Scale","q","Choice","2",1673715986372,"12",4,"unlicensed","DIk","NULL"
"135",1673716078,"efdf986863beefd6efbc08472c9ffd20","PennController",24,0,"Experiment","NULL","Scale","q","Choice","2",1673715996567,"8",4,"long-distance","mA","NULL"
"136",1673716078,"efdf986863beefd6efbc08472c9ffd20","PennController",18,0,"Experiment","NULL","Scale","q","Choice","2",1673716001406,"2",4,"long-distance","mA","NULL"
"137",1673716078,"efdf986863beefd6efbc08472c9ffd20","PennController",29,0,"Experiment","NULL","Scale","q","Choice","5",1673716018147,"13",4,"licensed","mA","NULL"
"138",1673716078,"efdf986863beefd6efbc08472c9ffd20","PennController",26,0,"Experiment","NULL","Scale","q","Choice","5",1673716021392,"10",4,"licensed","DIk","NULL"
"139",1673716078,"efdf986863beefd6efbc08472c9ffd20","PennController",20,0,"Experiment","NULL","Scale","q","Choice","5",1673716031386,"4",4,"licensed","DIk","NULL"
"140",1673716078,"efdf986863beefd6efbc08472c9ffd20","PennController",34,0,"Experiment","NULL","Scale","q","Choice","3",1673716034407,"18",4,"unlicensed","DIk","NULL"
"141",1673716078,"efdf986863beefd6efbc08472c9ffd20","PennController",33,0,"Experiment","NULL","Scale","q","Choice","3",1673716041990,"17",4,"long-distance","DIk","NULL"
"142",1673716078,"efdf986863beefd6efbc08472c9ffd20","PennController",32,0,"Experiment","NULL","Scale","q","Choice","5",1673716057454,"16",4,"licensed","DIk","NULL"
"143",1673716078,"efdf986863beefd6efbc08472c9ffd20","PennController",17,0,"Experiment","NULL","Scale","q","Choice","4",1673716067079,"1",4,"licensed","mA","NULL"
"144",1673716078,"efdf986863beefd6efbc08472c9ffd20","PennController",30,0,"Experiment","NULL","Scale","q","Choice","3",1673716070558,"14",4,"long-distance","mA","NULL"
"145",1673716187,"e36aee25c5291872d6900ed67590f38c","PennController",26,0,"Experiment","NULL","Scale","q","Choice","2",1673716030261,"10",6,"unlicensed","DIk","NULL"
"146",1673716187,"e36aee25c5291872d6900ed67590f38c","PennController",23,0,"Experiment","NULL","Scale","q","Choice","2",1673716037142,"7",6,"unlicensed","mA","NULL"
"147",1673716187,"e36aee25c5291872d6900ed67590f38c","PennController",34,0,"Experiment","NULL","Scale","q","Choice","4",1673716051731,"18",6,"long-distance","mA","NULL"
"148",1673716187,"e36aee25c5291872d6900ed67590f38c","PennController",24,0,"Experiment","NULL","Scale","q","Choice","5",1673716060479,"8",6,"licensed","DIk","NULL"
"149",1673716187,"e36aee25c5291872d6900ed67590f38c","PennController",32,0,"Experiment","NULL","Scale","q","Choice","1",1673716068812,"16",6,"unlicensed","DIk","NULL"
"150",1673716187,"e36aee25c5291872d6900ed67590f38c","PennController",20,0,"Experiment","NULL","Scale","q","Choice","1",1673716072822,"4",6,"unlicensed","DIk","NULL"
"151",1673716187,"e36aee25c5291872d6900ed67590f38c","PennController",22,0,"Experiment","NULL","Scale","q","Choice","3",1673716086931,"6",6,"long-distance","mA","NULL"
"152",1673716187,"e36aee25c5291872d6900ed67590f38c","PennController",27,0,"Experiment","NULL","Scale","q","Choice","5",1673716093747,"11",6,"licensed","mA","NULL"
"153",1673716187,"e36aee25c5291872d6900ed67590f38c","PennController",17,0,"Experiment","NULL","Scale","q","Choice","1",1673716103915,"1",6,"unlicensed","mA","NULL"
"154",1673716187,"e36aee25c5291872d6900ed67590f38c","PennController",30,0,"Experiment","NULL","Scale","q","Choice","5",1673716109816,"14",6,"licensed","DIk","NULL"
"155",1673716187,"e36aee25c5291872d6900ed67590f38c","PennController",31,0,"Experiment","NULL","Scale","q","Choice","1",1673716120016,"15",6,"long-distance","DIk","NULL"
"156",1673716187,"e36aee25c5291872d6900ed67590f38c","PennController",28,0,"Experiment","NULL","Scale","q","Choice","1",1673716124475,"12",6,"long-distance","mA","NULL"
"157",1673716187,"e36aee25c5291872d6900ed67590f38c","PennController",25,0,"Experiment","NULL","Scale","q","Choice","4",1673716136637,"9",6,"long-distance","DIk","NULL"
"158",1673716187,"e36aee25c5291872d6900ed67590f38c","PennController",19,0,"Experiment","NULL","Scale","q","Choice","4",1673716140954,"3",6,"long-distance","DIk","NULL"
"159",1673716187,"e36aee25c5291872d6900ed67590f38c","PennController",18,0,"Experiment","NULL","Scale","q","Choice","5",1673716154916,"2",6,"licensed","DIk","NULL"
"160",1673716187,"e36aee25c5291872d6900ed67590f38c","PennController",21,0,"Experiment","NULL","Scale","q","Choice","4",1673716159185,"5",6,"licensed","mA","NULL"
